Season,home_team,away_team,home_pts,away_pts,home_fg_pct,away_fg_pct,home_3fg_pct,away_3fg_pct,home_ft_pct,away_ft_pct,home_rebs,away_rebs,home_TOs,away_TOs,fg_pct_diff,fg3_pct_diff,ft_pct_diff,rebs_diff,TO_diff,score_diff
2016,Alabama,Kennesaw,77,64,0.51,0.35,0.24,0.37,0.56,0.73,38,39,12,16,0.16000000000000003,-0.13,-0.16999999999999993,-1,-4,13
2016,Tulane,Alabama A&M,67,68,0.39,0.39,0.26,0.28,0.62,0.59,48,37,19,15,0,-0.020000000000000018,0.030000000000000027,11,4,-1
2016,Arizona,Pacific,79,61,0.39,0.37,0.3,0.32,0.78,0.68,51,28,14,9,0.020000000000000018,-0.020000000000000018,0.09999999999999998,23,5,18
2016,Seattle,Ark Pine Bluff,56,58,0.35,0.36,0.38,0.23,0.57,0.69,41,37,15,12,-0.010000000000000009,0.15,-0.12,4,3,-2
2016,Arkansas,Southern Univ,86,68,0.48,0.42,0.53,0.33,0.54,0.71,43,28,14,17,0.06,0.2,-0.16999999999999993,15,-3,18
2016,Auburn,UAB,75,74,0.43,0.44,0.37,0.31,0.77,0.73,36,39,14,13,-0.010000000000000009,0.06,0.040000000000000036,-3,1,1
2016,Baylor,SF Austin,97,55,0.64,0.33,0.56,0.22,0.7,0.57,37,27,8,13,0.31,0.3400000000000001,0.13,10,-5,42
2016,Marquette,Belmont,80,83,0.43,0.45,0.23,0.35,0.67,0.65,44,35,11,12,-0.020000000000000018,-0.11999999999999997,0.020000000000000018,9,-1,-3
2016,Bradley,Ball St,54,53,0.32,0.36,0.25,0.27,0.59,0.5,43,40,13,13,-0.03999999999999998,-0.020000000000000018,0.08999999999999997,3,0,1
2016,BYU,Utah Valley,85,54,0.41,0.26,0.28,0.17,0.67,0.65,68,38,18,15,0.14999999999999997,0.11000000000000001,0.020000000000000018,30,3,31
2016,C Michigan,Jacksonville St,89,83,0.52,0.45,0.42,0.32,0.76,0.81,34,34,13,8,0.07,0.09999999999999998,-0.050000000000000044,0,5,6
2016,California,Rice,97,65,0.51,0.37,0.43,0.35,0.83,0.68,48,30,7,9,0.14,0.08000000000000002,0.1499999999999999,18,-2,32
2016,Georgia,Chattanooga,90,92,0.54,0.43,0.5,0.4,0.62,0.65,36,37,21,16,0.11000000000000004,0.09999999999999998,-0.030000000000000027,-1,5,-2
2016,Cincinnati,W Carolina,97,72,0.61,0.37,0.43,0.28,0.7,0.79,43,27,17,11,0.24,0.14999999999999997,-0.09000000000000008,16,6,25
2016,Clemson,NC Central,74,40,0.44,0.3,0.35,0.12,0.87,0.33,42,35,6,10,0.14,0.22999999999999998,0.54,7,-4,34
2016,Col Charleston,S Carolina St,74,54,0.42,0.32,0.35,0.17,0.69,0.75,44,32,13,11,0.09999999999999998,0.17999999999999997,-0.06000000000000005,12,2,20
2016,George Mason,Colgate,53,66,0.33,0.5,0.17,0.36,0.51,0.65,36,37,14,14,-0.16999999999999998,-0.18999999999999997,-0.14,-1,0,-13
2016,Connecticut,Maine,100,56,0.55,0.3,0.23,0.26,0.72,0.46,52,40,8,14,0.25000000000000006,-0.03,0.25999999999999995,12,-6,44
2016,Arizona St,CS Sacramento,63,66,0.42,0.46,0.12,0.35,0.56,0.57,34,41,11,17,-0.040000000000000036,-0.22999999999999998,-0.009999999999999898,-7,-6,-3
2016,Dayton,SE Missouri St,84,53,0.52,0.31,0.36,0.2,0.59,0.35,52,36,17,15,0.21000000000000002,0.15999999999999998,0.24,16,2,31
2016,Delaware St,Delaware,56,62,0.38,0.4,0.28,0.32,0,0.7,29,44,8,15,-0.020000000000000018,-0.03999999999999998,-0.7,-15,-7,-6
2016,Duke,Siena,92,74,0.45,0.42,0.24,0.44,0.72,0.62,44,40,10,17,0.030000000000000027,-0.2,0.09999999999999998,4,-7,18
2016,E Kentucky,Coppin St,107,80,0.53,0.4,0.31,0.29,0.69,0.62,42,44,11,20,0.13,0.020000000000000018,0.06999999999999995,-2,-9,27
2016,E Michigan,Vermont,70,50,0.43,0.31,0.18,0.31,0.78,0.56,36,40,9,21,0.12,-0.13,0.21999999999999997,-4,-12,20
2016,East Carolina,Grambling,61,53,0.31,0.36,0.24,0.28,0.69,0.38,44,32,15,15,-0.04999999999999999,-0.040000000000000036,0.30999999999999994,12,0,8
2016,Edwardsville,Arkansas St,79,70,0.38,0.36,0.32,0.35,0.75,0.73,42,47,7,11,0.020000000000000018,-0.02999999999999997,0.020000000000000018,-5,-4,9
2016,Charlotte,Elon,74,85,0.37,0.48,0.38,0.33,0.59,0.69,41,41,11,17,-0.10999999999999999,0.04999999999999999,-0.09999999999999998,0,-6,-11
2016,Navy,Florida,41,59,0.29,0.47,0.21,0.16,0.25,0.53,33,47,13,19,-0.18,0.04999999999999999,-0.28,-14,-6,-18
2016,Fresno St,Pepperdine,69,66,0.4,0.38,0.12,0.24,0.57,0.65,40,44,12,18,0.020000000000000018,-0.12,-0.08000000000000007,-4,-6,3
2016,Furman,Presbyterian,63,53,0.35,0.42,0.21,0.19,0.62,0.38,50,29,14,14,-0.07,0.01999999999999999,0.24,21,0,10
2016,G Washington,Lafayette,85,76,0.44,0.33,0.12,0.28,0.72,0.88,50,32,10,9,0.10999999999999999,-0.16000000000000003,-0.16000000000000003,18,1,9
2016,Georgia Tech,Cornell,116,81,0.6,0.47,0.35,0.42,0.61,0.63,48,24,6,13,0.13,-0.07,-0.020000000000000018,24,-7,35
2016,Grand Canyon,Portland St,82,72,0.36,0.45,0.2,0.25,0.82,0.55,46,39,12,15,-0.09000000000000002,-0.04999999999999999,0.2699999999999999,7,-3,10
2016,Central Conn,Hartford,83,92,0.4,0.42,0.3,0.42,0.56,0.79,50,44,13,6,-0.019999999999999962,-0.12,-0.22999999999999998,6,7,-9
2016,Hawaii,Montana St,87,76,0.52,0.44,0.35,0.43,0.58,0.77,35,32,13,21,0.08000000000000002,-0.08000000000000002,-0.19000000000000006,3,-8,11
