"","purchase","n_acts","bal_crdt_ratio","avg_prem_balance","retail_crdt_ratio","avg_fin_balance","mortgage_age","cred_limit"
"1",0,11,0,2494.41434114311,0,1767.19720263553,182,12500
"2",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"3",0,6,17.6,2494.41434114311,0,0,138.96011816839,0
"4",0,8,12.5,2494.41434114311,0.8,1021,138.96011816839,0
"5",0,8,59.1,2494.41434114311,20.8,797,93,0
"6",0,1,90.1,2494.41434114311,11.4912303766143,4953,138.96011816839,0
"7",0,5,0.6,2494.41434114311,11.4912303766143,1767.19720263553,87,0
"8",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"9",1,9,3.4,235,14.2,1767.19720263553,359,11500
"10",0,18,40.8,137,4.6,62,51,16000
"11",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"12",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"13",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"14",0,6,10,0,11.4912303766143,485,171,12700
"15",1,2,85.3,2494.41434114311,0,1767.19720263553,138.96011816839,0
"16",0,13,60.7,2494.41434114311,62.5,1767.19720263553,213,0
"17",0,3,48.3,2494.41434114311,0,1767.19720263553,89,0
"18",0,1,3.4,2494.41434114311,11.4912303766143,1767.19720263553,147,0
"19",0,9,0.3,84,0.2,0,99,10000
"20",0,9,6.9,0,11.4912303766143,1767.19720263553,21,0
"21",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"22",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"23",1,29,9.5,375,0,0,132,12700
"24",0,4,70.3,2494.41434114311,0,1767.19720263553,15,0
"25",0,3,76.1,2494.41434114311,0,1767.19720263553,138.96011816839,0
"26",0,4,95,2494.41434114311,11.4912303766143,1767.19720263553,94,0
"27",1,9,16.1,4181,0,1161,138.96011816839,0
"28",0,0,100,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"29",0,8,6.6,471,6.6,1767.19720263553,251,20000
"30",0,1,70.6,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"31",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"32",0,6,1.4,167,11.4912303766143,45,138.96011816839,15000
"33",0,7,2.1,211,0,1767.19720263553,119,15000
"34",1,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"35",0,4,0.7,0,11.4912303766143,1767.19720263553,111,0
"36",0,1,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,139,0
"37",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"38",1,6,21.1,610,0.3,1767.19720263553,138.96011816839,0
"39",0,3,0,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"40",1,6,20.1,2494.41434114311,0,1767.19720263553,138.96011816839,0
"41",0,9,33.2,1226,74.8,1324,117,12500
"42",0,9,37.7,3342,11.4912303766143,1364,116,22000
"43",0,2,77,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"44",1,20,57.2,3910,54,282,28,0
"45",0,6,2.3,354,11.4912303766143,1767.19720263553,138.96011816839,10700
"46",0,13,8.8,132,2,1767.19720263553,426,13500
"47",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"48",0,1,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"49",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"50",0,1,92.9,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"51",1,6,84,2494.41434114311,11.4912303766143,56,109,0
"52",0,3,66.7,2820,11.4912303766143,1767.19720263553,158,12300
"53",0,1,97.3,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"54",0,1,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"55",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"56",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,177,0
"57",0,5,17.5,1184,11.4912303766143,1767.19720263553,168,10000
"58",0,9,27.6,0,0,780,23,16000
"59",0,7,1.2,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"60",0,2,70.9,2494.41434114311,11.4912303766143,1767.19720263553,6,0
"61",1,13,0,0,0,1767.19720263553,138.96011816839,13500
"62",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"63",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"64",0,3,2.3,230,11.4912303766143,1767.19720263553,138.96011816839,10000
"65",0,0,37.9,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"66",1,8,0,2494.41434114311,0,0,138.96011816839,0
"67",0,12,51.7,1172,11.4912303766143,0,30,20000
"68",1,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"69",1,6,56.7,3268,11.4912303766143,1767.19720263553,129,0
"70",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"71",1,3,7.3,2494.41434114311,11.4912303766143,0,158,0
"72",0,5,5.5,870,0,1767.19720263553,154,15900
"73",1,11,1.9,236,11.4912303766143,1767.19720263553,138.96011816839,10300
"74",0,6,0,2494.41434114311,0,1767.19720263553,138.96011816839,0
"75",0,1,0,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,12800
"76",0,3,26.9,223,11.4912303766143,0,79,30000
"77",0,6,12,2221,0,1767.19720263553,245,20000
"78",1,3,0,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"79",0,0,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
"80",1,12,18.8,0,3.9,1767.19720263553,133,0
"81",0,1,36.0950602704023,2494.41434114311,11.4912303766143,1767.19720263553,138.96011816839,0
